id_factura,fecha_emision,hora_emision,cantidad,precio_unitario,metodo_pago,subtotal,iva,id_cliente,id_vendedor,id_carro,total,estado
1,2025-04-08,00:00:00,1,156628199,Crédito,359238113,0.19,409,13,110,427493354.46999997,Cancelada
2,2013-06-15,00:00:00,1,180037678,Contado,45779696,0.19,314,39,48,54477838.239999995,Cancelada
3,2024-12-27,00:00:00,1,164203225,Contado,446380116,0.19,236,10,119,531192338.03999996,Cancelada
4,2015-08-14,00:00:00,1,512951021,Transferencia,126244684,0.19,178,42,113,150231173.95999998,Cancelada
5,2025-05-24,00:00:00,1,160850524,Crédito,117803101,0.19,319,1,21,140185690.19,Cancelada
6,2018-04-16,00:00:00,1,420225663,Contado,27688922,0.19,168,41,29,32949817.18,Pagada
7,2023-04-15,00:00:00,1,379016286,Transferencia,96748094,0.19,146,20,92,115130231.86,Cancelada
8,2018-05-02,00:00:00,1,125980420,Crédito,360714739,0.19,189,40,36,429250539.40999997,Pagada
9,2021-02-28,00:00:00,1,332161682,Transferencia,38314835,0.19,27,6,98,45594653.65,Cancelada
10,2008-08-12,00:00:00,1,338759537,Transferencia,468490735,0.19,411,4,58,557503974.65,Pendiente
11,2018-10-23,00:00:00,1,20279166,Transferencia,446690084,0.19,265,25,83,531561199.96,Pagada
12,2010-08-10,00:00:00,1,164345849,Crédito,147683651,0.19,300,48,53,175743544.69,Pagada
13,2013-10-13,00:00:00,1,176849601,Transferencia,106911459,0.19,64,1,13,127224636.21,Pendiente
14,2009-07-07,00:00:00,1,164203225,Crédito,233010835,0.19,453,6,95,277282893.65,Pagada
15,2016-07-31,00:00:00,1,172431016,Crédito,193158253,0.19,225,34,120,229858321.07,Pagada
16,2022-03-18,00:00:00,1,317698399,Contado,26288106,0.19,389,16,3,31282846.139999997,Pendiente
17,2025-09-08,00:00:00,1,81504504,Crédito,327136726,0.19,250,27,46,389292703.94,Cancelada
18,2012-12-10,00:00:00,1,464054939,Crédito,278114850,0.19,222,17,95,330956671.5,Pagada
19,2023-03-08,00:00:00,1,156628199,Crédito,279762230,0.19,391,32,90,332917053.7,Pendiente
20,2023-09-23,00:00:00,1,410404831,Transferencia,480463686,0.19,264,11,29,571751786.34,Pendiente
21,2013-02-26,00:00:00,1,475796479,Crédito,204630857,0.19,19,14,42,243510719.82999998,Pendiente
22,2025-12-11,00:00:00,1,63800302,Contado,120796580,0.19,342,46,136,143747930.2,Pendiente
23,2015-01-30,00:00:00,1,438513876,Contado,357537678,0.19,400,36,42,425469836.82,Pendiente
24,2017-04-01,00:00:00,1,302279879,Crédito,486823129,0.19,281,30,119,579319523.51,Cancelada
25,2015-12-02,00:00:00,1,289577866,Contado,458617888,0.19,374,23,106,545755286.72,Cancelada
26,2019-08-02,00:00:00,1,66732227,Crédito,329882687,0.19,384,2,53,392560397.53,Pagada
27,2020-01-06,00:00:00,1,125980420,Contado,237785366,0.19,290,35,110,282964585.53999996,Pendiente
28,2008-03-20,00:00:00,1,159178619,Crédito,262721547,0.19,260,11,77,312638640.93,Pendiente
29,2023-09-20,00:00:00,1,288850118,Transferencia,135339301,0.19,35,50,61,161053768.19,Pendiente
30,2013-11-27,00:00:00,1,164203225,Transferencia,263306456,0.19,496,31,21,313334682.64,Pagada
31,2013-07-26,00:00:00,1,140064881,Transferencia,353564641,0.19,79,26,81,420741922.78999996,Pendiente
32,2014-06-11,00:00:00,1,330746768,Contado,161092165,0.19,478,34,75,191699676.35,Cancelada
33,2010-01-31,00:00:00,1,420225663,Contado,313066787,0.19,423,46,135,372549476.53,Cancelada
34,2016-12-12,00:00:00,1,187740075,Transferencia,256149650,0.19,194,6,86,304818083.5,Pendiente
35,2023-02-09,00:00:00,1,172431016,Contado,83253662,0.19,170,43,101,99071857.78,Pagada
36,2024-10-17,00:00:00,1,473725183,Transferencia,419947585,0.19,339,30,90,499737626.15,Pagada
37,2015-09-02,00:00:00,1,125324651,Crédito,169950832,0.19,366,12,73,202241490.07999998,Pendiente
38,2009-09-14,00:00:00,1,113656013,Transferencia,371897678,0.19,226,12,106,442558236.82,Pagada
39,2020-06-08,00:00:00,1,273232003,Crédito,432591229,0.19,375,23,112,514783562.51,Pagada
40,2012-01-02,00:00:00,1,281535042,Crédito,296215200,0.19,370,31,64,352496088.0,Cancelada
41,2018-09-08,00:00:00,1,44470638,Crédito,201113585,0.19,326,30,77,239325166.14999998,Pendiente
42,2015-01-15,00:00:00,1,416988737,Contado,201062179,0.19,137,21,85,239263993.01,Pendiente
43,2015-12-06,00:00:00,1,379016286,Contado,499171701,0.19,74,17,68,594014324.1899999,Pendiente
44,2012-11-25,00:00:00,1,338759537,Contado,120029466,0.19,73,48,75,142835064.54,Pagada
45,2020-11-12,00:00:00,1,61438545,Transferencia,157054783,0.19,391,24,57,186895191.76999998,Cancelada
46,2014-01-13,00:00:00,1,78565715,Transferencia,203063848,0.19,469,36,79,241645979.11999997,Pagada
47,2012-02-06,00:00:00,1,429330858,Crédito,453248651,0.19,101,41,66,539365894.6899999,Pendiente
48,2024-09-25,00:00:00,1,160850524,Contado,488135924,0.19,48,18,19,580881749.56,Cancelada
49,2023-04-28,00:00:00,1,495127528,Crédito,281646803,0.19,316,31,79,335159695.57,Pagada
50,2012-04-06,00:00:00,1,257467980,Crédito,434468526,0.19,197,9,32,517017545.94,Cancelada
51,2019-03-11,00:00:00,1,420225663,Contado,314688864,0.19,142,25,102,374479748.15999997,Cancelada
52,2024-07-13,00:00:00,1,512951021,Contado,264982788,0.19,202,10,63,315329517.71999997,Pendiente
53,2012-06-23,00:00:00,1,352784145,Crédito,376078599,0.19,113,37,63,447533532.81,Pagada
54,2013-04-07,00:00:00,1,326511991,Transferencia,71809875,0.19,22,3,67,85453751.25,Pendiente
55,2024-06-29,00:00:00,1,52029386,Contado,378636576,0.19,23,21,71,450577525.44,Cancelada
56,2013-06-05,00:00:00,1,248783370,Transferencia,479676597,0.19,156,10,116,570815150.43,Pagada
57,2013-12-14,00:00:00,1,164203225,Transferencia,203811190,0.19,7,40,73,242535316.1,Cancelada
58,2012-08-20,00:00:00,1,160850524,Crédito,429777098,0.19,489,6,58,511434746.62,Pagada
59,2013-02-20,00:00:00,1,486592738,Crédito,298675155,0.19,69,33,70,355423434.45,Cancelada
60,2012-07-19,00:00:00,1,303602600,Contado,161123687,0.19,100,50,105,191737187.53,Cancelada
61,2013-08-07,00:00:00,1,227893623,Crédito,53886095,0.19,215,43,68,64124453.05,Pendiente
62,2021-11-15,00:00:00,1,211082584,Transferencia,439808500,0.19,292,48,5,523372115.0,Pagada
63,2015-12-26,00:00:00,1,486592738,Crédito,216184573,0.19,100,30,135,257259641.86999997,Pendiente
64,2011-07-01,00:00:00,1,78565715,Crédito,248983238,0.19,214,25,44,296290053.21999997,Pendiente
65,2025-06-21,00:00:00,1,20279166,Crédito,364828266,0.19,410,43,38,434145636.53999996,Pendiente
66,2010-05-23,00:00:00,1,303883128,Contado,33644029,0.19,423,36,58,40036394.51,Pagada
67,2010-09-09,00:00:00,1,456481009,Crédito,311692052,0.19,453,16,13,370913541.88,Pendiente
68,2009-10-04,00:00:00,1,88508120,Contado,87768232,0.19,78,47,85,104444196.08,Pagada
69,2023-02-27,00:00:00,1,352423421,Crédito,70779140,0.19,219,7,129,84227176.6,Cancelada
70,2022-11-17,00:00:00,1,52029386,Contado,141936834,0.19,281,26,108,168904832.45999998,Pagada
71,2019-01-18,00:00:00,1,407494105,Transferencia,265582707,0.19,291,4,33,316043421.33,Cancelada
72,2021-10-07,00:00:00,1,248783370,Transferencia,465644710,0.19,131,36,123,554117204.9,Pendiente
73,2008-02-24,00:00:00,1,191506783,Contado,79666204,0.19,470,12,56,94802782.75999999,Cancelada
74,2025-02-20,00:00:00,1,292689425,Contado,84573622,0.19,108,46,137,100642610.17999999,Pagada
75,2020-02-22,00:00:00,1,296162991,Contado,315528521,0.19,1,29,134,375478939.99,Pendiente
76,2008-12-12,00:00:00,1,126806143,Crédito,402625404,0.19,34,8,70,479124230.76,Pendiente
77,2018-10-25,00:00:00,1,352784145,Transferencia,178759942,0.19,84,42,26,212724330.98,Cancelada
78,2016-04-28,00:00:00,1,328833233,Crédito,87806392,0.19,440,31,64,104489606.47999999,Cancelada
79,2021-12-02,00:00:00,1,160850524,Contado,488852986,0.19,20,12,41,581735053.34,Pagada
80,2015-01-27,00:00:00,1,227009349,Contado,206629345,0.19,136,5,27,245888920.54999998,Cancelada
81,2019-01-16,00:00:00,1,226927318,Crédito,184835694,0.19,373,30,3,219954475.85999998,Cancelada
82,2020-11-19,00:00:00,1,420225663,Crédito,262968890,0.19,248,44,115,312932979.09999996,Pagada
83,2014-02-28,00:00:00,1,54822142,Contado,254163821,0.19,403,14,34,302454946.99,Pendiente
84,2019-01-03,00:00:00,1,410404831,Transferencia,317049890,0.19,34,13,16,377289369.09999996,Pendiente
85,2012-02-07,00:00:00,1,379409904,Contado,64542698,0.19,113,29,45,76805810.61999999,Pendiente
86,2025-02-20,00:00:00,1,292689425,Transferencia,485449626,0.19,240,46,30,577685054.9399999,Pendiente
87,2019-06-19,00:00:00,1,308990038,Contado,290971484,0.19,469,47,123,346256065.96,Cancelada
88,2014-04-14,00:00:00,1,79588311,Crédito,118039273,0.19,85,14,12,140466734.87,Cancelada
89,2016-12-03,00:00:00,1,304924610,Contado,233437376,0.19,474,37,123,277790477.44,Pendiente
90,2012-12-24,00:00:00,1,185466977,Contado,460248439,0.19,345,42,84,547695642.41,Cancelada
91,2024-10-28,00:00:00,1,328833233,Contado,495465910,0.19,253,38,78,589604432.9,Pendiente
92,2020-12-07,00:00:00,1,118325220,Crédito,294289828,0.19,59,12,133,350204895.32,Pagada
93,2010-11-16,00:00:00,1,360711708,Crédito,124624321,0.19,41,2,90,148302941.98999998,Cancelada
94,2009-03-19,00:00:00,1,312835570,Transferencia,96079129,0.19,343,21,50,114334163.50999999,Cancelada
95,2019-10-16,00:00:00,1,330746768,Contado,470978444,0.19,236,12,74,560464348.36,Pagada
96,2025-12-04,00:00:00,1,164203225,Transferencia,385380582,0.19,416,12,106,458602892.58,Pendiente
97,2017-06-28,00:00:00,1,227893623,Contado,139108619,0.19,461,10,95,165539256.60999998,Pagada
98,2018-09-23,00:00:00,1,363108940,Crédito,436564240,0.19,176,37,87,519511445.59999996,Cancelada
99,2020-02-16,00:00:00,1,512951021,Contado,28976075,0.19,316,37,121,34481529.25,Pendiente
100,2008-09-23,00:00:00,1,81504504,Crédito,126663965,0.19,373,40,34,150730118.35,Pendiente
101,2019-04-09,00:00:00,1,19305707,Contado,413747741,0.19,191,14,33,492359811.78999996,Pagada
102,2015-10-15,00:00:00,1,235193737,Crédito,419751825,0.19,436,48,10,499504671.75,Pagada
103,2016-10-30,00:00:00,1,88508120,Transferencia,210018211,0.19,241,27,63,249921671.09,Pendiente
104,2023-05-24,00:00:00,1,268558652,Contado,302165760,0.19,490,11,3,359577254.4,Pagada
105,2025-05-27,00:00:00,1,368797572,Transferencia,342625217,0.19,490,7,11,407724008.22999996,Cancelada
106,2011-12-02,00:00:00,1,52991391,Transferencia,438725862,0.19,133,47,78,522083775.78,Pagada
107,2018-04-03,00:00:00,1,257467980,Contado,101481539,0.19,296,28,72,120763031.41,Pagada
108,2010-09-13,00:00:00,1,126749719,Transferencia,322195510,0.19,286,21,111,383412656.9,Cancelada
109,2023-08-30,00:00:00,1,473725183,Contado,481669360,0.19,281,43,78,573186538.4,Pendiente
110,2019-08-16,00:00:00,1,379016286,Crédito,304843057,0.19,456,38,98,362763237.83,Pendiente
111,2018-04-26,00:00:00,1,81504504,Transferencia,301881510,0.19,462,5,17,359238996.9,Pendiente
112,2015-01-29,00:00:00,1,88508120,Crédito,45230364,0.19,417,41,38,53824133.16,Pagada
113,2023-06-17,00:00:00,1,247393456,Transferencia,449636310,0.19,380,20,58,535067208.9,Cancelada
114,2008-03-09,00:00:00,1,330746768,Crédito,306236087,0.19,170,16,14,364420943.53,Pendiente
115,2008-04-06,00:00:00,1,61684778,Crédito,214699539,0.19,324,36,8,255492451.41,Pagada
116,2023-02-13,00:00:00,1,406577928,Crédito,309618883,0.19,341,36,37,368446470.77,Pagada
117,2012-09-22,00:00:00,1,88508120,Crédito,143707699,0.19,168,10,92,171012161.81,Cancelada
118,2016-07-05,00:00:00,1,227009349,Crédito,392424531,0.19,270,16,28,466985191.89,Cancelada
119,2021-01-11,00:00:00,1,228565480,Crédito,305008700,0.19,80,11,35,362960353.0,Cancelada
120,2010-04-05,00:00:00,1,408800482,Transferencia,109525087,0.19,342,21,30,130334853.53,Pagada
121,2015-04-19,00:00:00,1,299617790,Contado,221043191,0.19,350,42,53,263041397.29,Pagada
122,2016-02-10,00:00:00,1,371022414,Crédito,105228148,0.19,428,24,119,125221496.11999999,Pagada
123,2021-09-28,00:00:00,1,338759537,Crédito,73761216,0.19,367,45,86,87775847.03999999,Cancelada
124,2013-10-28,00:00:00,1,401069204,Transferencia,385285306,0.19,302,16,101,458489514.14,Pagada
125,2012-03-13,00:00:00,1,391914029,Crédito,108924890,0.19,267,37,92,129620619.1,Cancelada
126,2020-04-20,00:00:00,1,363108940,Contado,360863283,0.19,350,35,136,429427306.77,Pagada
127,2013-11-23,00:00:00,1,456481009,Crédito,360543994,0.19,143,14,101,429047352.85999995,Cancelada
128,2013-04-26,00:00:00,1,360711708,Transferencia,481140337,0.19,413,21,49,572557001.03,Pendiente
129,2014-01-15,00:00:00,1,219244721,Transferencia,351885151,0.19,305,36,85,418743329.69,Pendiente
130,2018-07-28,00:00:00,1,429330858,Transferencia,141471065,0.19,399,20,87,168350567.35,Pagada
131,2021-10-01,00:00:00,1,92394484,Contado,472710377,0.19,460,18,121,562525348.63,Cancelada
132,2015-09-11,00:00:00,1,268558652,Contado,423245985,0.19,126,27,1,503662722.15,Cancelada
